EventID,EventType,StartDateTime,EndDateTime,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,ZipCode(s),EventDuration in Hours,EncodedEventType,Mean Event Duration,Count Event Duration,Median Event Duration,Modal EventType,Max Event Duration,Min Event Duration,Maximum Event Duration for Shooting Permits,Minimum Event Duration for Shooting Permits,Average Event Duration for Shooting Permits,Maximum Event Duration for Theater Load in and Load Outs,Average Event Duration for Theater Load in and Load Outs,Maximum Event Duration for Rigging Permit,Average Event Duration for Rigging Permit,Maximum Event Duration for DCAS Prep/Shoot/Wrap Permit,Average Event Duration for DCAS Prep/Shoot/Wrap Permit
719803,Theater Load in and Load Outs,6/21/23 6:00,6/23/23 5:30,Manhattan,7,20,Theater,Theater,10023,47.5,1,23.00181086,3433,,,,,,,,,,,,,
723264,Shooting Permit,6/21/23 7:00,6/21/23 17:00,Manhattan,"4, 5, 64","18, 22",Still Photography,Not Applicable,"00083, 10019, 10023",10,0,22.99467269,3432,,,,,,,,,,,,,
746480,Shooting Permit,11/4/23 0:01,11/5/23 19:00,Manhattan,8,19,Television,Variety,10065,42.98333333,0,22.99846012,3431,,,,,,,,,,,,,
744741,Theater Load in and Load Outs,11/4/23 6:00,11/5/23 23:59,Manhattan,7,20,Theater,Theater,10023,41.98333333,1,22.99263362,3430,,,,,,,,,,,,,
747830,Theater Load in and Load Outs,11/4/23 0:01,11/5/23 6:00,Brooklyn,1,94,Theater,Theater,11222,29.98333333,1,22.98709536,3429,,,,,,,,,,,,,
746479,Shooting Permit,11/4/23 0:01,11/5/23 19:00,Brooklyn,2,"78, 84, 88",Television,Variety,11217,42.98333333,0,22.98505445,3428,,,,,,,,,,,,,
746481,Shooting Permit,11/4/23 0:01,11/5/23 19:00,Bronx,1,40,Television,Variety,10454,42.98333333,0,22.97921895,3427,,,,,,,,,,,,,
748047,Theater Load in and Load Outs,11/4/23 0:01,11/5/23 6:00,Manhattan,12,33,Theater,Theater,10033,29.98333333,1,22.97338004,3426,,,,,,,,,,,,,
747803,Shooting Permit,11/4/23 6:00,11/4/23 23:00,Brooklyn,14,70,Film,Short,11230,17,0,22.97133333,3425,,,,,,,,,,,,,
747829,Theater Load in and Load Outs,11/4/23 6:00,11/5/23 6:00,Manhattan,7,20,Theater,Theater,10023,24,1,22.9730773,3424,,,,,,,,,,,,,
747742,Shooting Permit,11/5/23 6:00,11/5/23 21:00,Queens,7,109,Film,Feature,11354,15,0,22.97277729,3423,,,,,,,,,,,,,
746476,Shooting Permit,11/5/23 7:00,11/5/23 18:00,Manhattan,"1, 2","1, 108",Commercial,Commercial,"10013, 11101, 11109",11,0,22.97510715,3422,,,,,,,,,,,,,
746425,Theater Load in and Load Outs,11/5/23 0:01,11/5/23 23:59,Manhattan,"11, 3","23, 9",Theater,Theater,"10003, 10029",23.96666667,1,22.97860762,3421,,,,,,,,,,,,,
746267,Shooting Permit,11/5/23 7:00,11/5/23 19:00,Manhattan,1,1,Commercial,Commercial,"10006, 10038",12,0,22.97831871,3420,,,,,,,,,,,,,
747807,Shooting Permit,11/5/23 6:00,11/5/23 23:00,Brooklyn,14,70,Film,Short,11230,17,0,22.98152969,3419,,,,,,,,,,,,,
743863,Theater Load in and Load Outs,11/5/23 0:01,11/7/23 6:00,Manhattan,7,20,Theater,Theater,10023,53.98333333,1,22.9832797,3418,,,,,,,,,,,,,
746649,Theater Load in and Load Outs,11/5/23 0:01,11/6/23 6:00,Manhattan,4,14,Theater,Theater,10001,29.98333333,1,22.97420739,3417,,,,,,,,,,,,,
747866,Shooting Permit,11/4/23 19:00,11/5/23 5:30,Queens,"82, 9",102,Music Video,Signed Artist,"11385, 11418",10.5,0,22.97215554,3416,,,,,,,,,,,,,
747976,Shooting Permit,11/5/23 6:00,11/5/23 20:00,Manhattan,1,1,Commercial,Commercial,"10004, 10005",14,0,22.97580771,3415,,,,,,,,,,,,,
747951,Shooting Permit,11/8/23 0:00,11/8/23 23:59,Manhattan,5,18,Television,News,"10036, 10105",23.98333333,0,22.97843683,3414,,,,,,,,,,,,,
747833,Theater Load in and Load Outs,11/6/23 0:01,11/7/23 6:00,Brooklyn,1,94,Theater,Theater,11222,29.98333333,1,22.9781424,3413,,,,,,,,,,,,,
747801,Theater Load in and Load Outs,11/6/23 6:01,11/19/23 6:00,Manhattan,7,20,Theater,Theater,10023,311.9833333,1,22.97608929,3412,,,,,,,,,,,,,
746563,Theater Load in and Load Outs,11/7/23 0:01,11/7/23 23:59,Manhattan,4,18,Theater,Theater,10019,23.96666667,1,22.89136128,3411,,,,,,,,,,,,,
718992,Shooting Permit,6/22/23 6:00,6/22/23 23:59,Manhattan,12,33,WEB,Not Applicable,10032,17.98333333,0,22.89104594,3410,,,,,,,,,,,,,
719140,Shooting Permit,6/22/23 9:00,6/22/23 23:59,Manhattan,5,18,Television,News,"10036, 10105",14.98333333,0,22.89248558,3409,,,,,,,,,,,,,
725912,Theater Load in and Load Outs,6/22/23 0:01,6/22/23 23:59,Manhattan,5,18,Theater,Theater,"10019, 10106",23.96666667,1,22.89480634,3408,,,,,,,,,,,,,
723951,Shooting Permit,6/22/23 9:00,6/22/23 23:00,Manhattan,1,1,Film,Feature,10013,14,0,22.89449173,3407,,,,,,,,,,,,,
725484,Shooting Permit,6/21/23 21:30,6/22/23 0:30,Manhattan,5,14,Documentary,Not Applicable,10018,3,0,22.89710315,3406,,,,,,,,,,,,,
720087,Theater Load in and Load Outs,6/22/23 0:01,6/23/23 6:00,Manhattan,"11, 3","23, 9",Theater,Theater,"10003, 10029",29.98333333,1,22.90294665,3405,,,,,,,,,,,,,
725369,Shooting Permit,6/22/23 5:00,6/23/23 1:00,Manhattan,"1, 4","1, 10",Still Photography,Not Applicable,"10001, 10018, 10038",20,0,22.90086663,3404,,,,,,,,,,,,,
